Hall B RICH Hardware Interlock System EPICS Interface - S1 EP,,,,,,,
PV #,Group #,Signal Category,LabVIEW_Signal_Name,Access Type,Data Type,EPICS Process Variable (PV),Units
1,1,Internal Status Monitoring,RICH EPICS S1 EP Humidity 1,Read Only,Double,B_DET_RICH_INTLK_S1_EP_HUMID1,%
2,2,,RICH EPICS S1 EP Humidity 2,Read Only,Double,B_DET_RICH_INTLK_S1_EP_HUMID2,%
3,3,,RICH EPICS S1 EP Humidity 3,Read Only,Double,B_DET_RICH_INTLK_S1_EP_HUMID3,%
4,4,,RICH EPICS S1 EP Humidity 4,Read Only,Double,B_DET_RICH_INTLK_S1_EP_HUMID4,%
5,5,,RICH EPICS S1 EP Humidity 5,Read Only,Double,B_DET_RICH_INTLK_S1_EP_HUMID5,%
6,6,,RICH EPICS S1 EP Humidity 6,Read Only,Double,B_DET_RICH_INTLK_S1_EP_HUMID6,%
7,7,,RICH EPICS S1 EP Humidity 7,Read Only,Double,B_DET_RICH_INTLK_S1_EP_HUMID7,%
8,8,,RICH EPICS S1 EP Humidity 8,Read Only,Double,B_DET_RICH_INTLK_S1_EP_HUMID8,%
9,9,,RICH EPICS S1 EP Humidity 9,Read Only,Double,B_DET_RICH_INTLK_S1_EP_HUMID9,%
10,10,,RICH EPICS S1 EP Humidity 10,Read Only,Double,B_DET_RICH_INTLK_S1_EP_HUMID10,%
11,11,,RICH EPICS S1 EP Humidity 11,Read Only,Double,B_DET_RICH_INTLK_S1_EP_HUMID11,%
12,12,,RICH EPICS S1 EP Humidity 12,Read Only,Double,B_DET_RICH_INTLK_S1_EP_HUMID12,%
13,13,,RICH EPICS S1 EP Humidity 13,Read Only,Double,B_DET_RICH_INTLK_S1_EP_HUMID13,%
14,14,,RICH EPICS S1 EP Humidity 14,Read Only,Double,B_DET_RICH_INTLK_S1_EP_HUMID14,%
15,15,,RICH EPICS S1 EP Humidity 15,Read Only,Double,B_DET_RICH_INTLK_S1_EP_HUMID15,%
16,16,,RICH EPICS S1 EP Humidity 16,Read Only,Double,B_DET_RICH_INTLK_S1_EP_HUMID16,%
17,17,,RICH EPICS S1 EP Temp 1,Read Only,Double,B_DET_RICH_INTLK_S1_EP_TEMP1,°C
18,18,,RICH EPICS S1 EP Temp 2,Read Only,Double,B_DET_RICH_INTLK_S1_EP_TEMP2,°C
19,19,,RICH EPICS S1 EP Temp 3,Read Only,Double,B_DET_RICH_INTLK_S1_EP_TEMP3,°C
20,20,,RICH EPICS S1 EP Temp 4,Read Only,Double,B_DET_RICH_INTLK_S1_EP_TEMP4,°C
21,21,,RICH EPICS S1 EP Temp 5,Read Only,Double,B_DET_RICH_INTLK_S1_EP_TEMP5,°C
22,22,,RICH EPICS S1 EP Temp 6,Read Only,Double,B_DET_RICH_INTLK_S1_EP_TEMP6,°C
23,23,,RICH EPICS S1 EP Temp 7,Read Only,Double,B_DET_RICH_INTLK_S1_EP_TEMP7,°C
24,24,,RICH EPICS S1 EP Temp 8,Read Only,Double,B_DET_RICH_INTLK_S1_EP_TEMP8,°C
25,25,,RICH EPICS S1 EP Temp 9,Read Only,Double,B_DET_RICH_INTLK_S1_EP_TEMP9,°C
26,26,,RICH EPICS S1 EP Temp 10,Read Only,Double,B_DET_RICH_INTLK_S1_EP_TEMP10,°C
