Region  setting # Total Sense Field   Guard
1 1 900 600 300 214
1  2 1200  800 400 286
1  3 1500  1000  500 357
1  4 1650  1100  550 393
1  5 1800  1200  600 429
1  6 1875  1250  625 446
1  7 1950  1300  650 464
1  8 2025  1350  675 482
1  9 2100  1400  700 500
1  10  2175  1450  725 518
1  11  2250  1500  750 536
1  12  2325  1550  775 554
1  13  2400  1600  800 571
1  14  2475  1650  825 589
2 1 1000  667 333 238
2  2 1400  933 467 333
2  3 1800  1200  600 429
2  4 2000  1333  667 476
2  5 2200  1467  733 524
2  6 2300  1533  767 548
2  7 2400  1600  800 571
2  8 2450  1633  817 583
2  9 2500  1667  833 595
2  10  2550  1700  850 607
2  11  2600  1733  867 619
2  12  2650  1767  883 631
2  13  2700  1800  900 643
2  14  2750  1833  917 655
3 1 1200  800 400 286
3  2 1600  1067  533 381
3  3 2000  1333  667 476
3  4 2200  1467  733 524
3  5 2400  1600  800 571
3  6 2500  1667  833 595
3  7 2600  1733  867 619
3  8 2650  1767  883 631
3  9 2700  1800  900 643
3  10  2750  1833  917 655
3  11  2800  1867  933 667
3  12  2850  1900  950 679
3  13  2900  1933  967 690
3  14  2950  1967  983 702
