-------------------------------
   HALLB RICH1 CAEN SYS4527
-------------------------------
CRATE  	SLOT  CHANNEL   NAME
-------------------------------
RICH1    10      0    HVTILE_002
RICH1    10      1    HVTILE_004
RICH1    10      2    HVTILE_005
RICH1    10      3    HVTILE_008
RICH1    10      4    HVTILE_010
RICH1    10      5    HVTILE_011
RICH1    10      6    HVTILE_014
RICH1    10      7    HVTILE_015
RICH1    10      8    HVTILE_018
RICH1    10      9    HVTILE_019
RICH1    10     10    HVTILE_022
RICH1    10     11    HVTILE_023
RICH1    10     12    HVTILE_027
RICH1    10     13    HVTILE_028
RICH1    10     14    HVTILE_032
RICH1    10     15    HVTILE_033
RICH1    10     16    HVTILE_037
RICH1    10     17    HVTILE_038
RICH1    10     18    HVTILE_042
RICH1    10     19    HVTILE_043
RICH1    10     20    HVTILE_044
RICH1    10     21    HVTILE_048
RICH1    10     22    HVTILE_049
RICH1    10     23    HVTILE_050
RICH1    10     24    HVTILE_054
RICH1    10     25    HVTILE_055
RICH1    10     26    HVTILE_056
RICH1    10     27    HVTILE_061
RICH1    10     28    HVTILE_062
RICH1    10     29    HVTILE_063
RICH1    10     30    HVTILE_068
RICH1    10     31    HVTILE_069
RICH1    11      0    HVTILE_070
RICH1    11      1    HVTILE_075
RICH1    11      2    HVTILE_076
RICH1    11      3    HVTILE_077
RICH1    11      4    HVTILE_082
RICH1    11      5    HVTILE_083
RICH1    11      6    HVTILE_084
RICH1    11      7    HVTILE_085
RICH1    11      8    HVTILE_090
RICH1    11      9    HVTILE_091
RICH1    11     10    HVTILE_092
RICH1    11     11    HVTILE_093
RICH1    11     12    HVTILE_098
RICH1    11     13    HVTILE_099
RICH1    11     14    HVTILE_100
RICH1    11     15    HVTILE_101
RICH1    11     16    HVTILE_107
RICH1    11     17    HVTILE_108
RICH1    11     18    HVTILE_109
RICH1    11     19    HVTILE_110
RICH1    11     20    HVTILE_116
RICH1    11     21    HVTILE_117
RICH1    11     22    HVTILE_118
RICH1    11     23    HVTILE_119
RICH1    11     24    HVTILE_125
RICH1    11     25    HVTILE_126
RICH1    11     26    HVTILE_127
RICH1    11     27    HVTILE_128
RICH1    11     28    HVTILE_134
RICH1    11     29    HVTILE_135
RICH1    11     30    HVTILE_136
RICH1    11     31    HVTILE_137
RICH1    12      0    HVTILE_138
RICH1    12      1    HVTILE_001
RICH1    12      2    HVTILE_003
RICH1    12      3    HVTILE_006
RICH1    12      4    HVTILE_007
RICH1    12      5    HVTILE_009
RICH1    12      6    HVTILE_012
RICH1    12      7    HVTILE_013
RICH1    12      8    HVTILE_016
RICH1    12      9    HVTILE_017
RICH1    12     10    HVTILE_020
RICH1    12     11    HVTILE_021
RICH1    12     12    HVTILE_024
RICH1    12     13    HVTILE_025
RICH1    12     14    HVTILE_026
RICH1    12     15    HVTILE_029
RICH1    12     16    HVTILE_030
RICH1    12     17    HVTILE_031
RICH1    12     18    HVTILE_034
RICH1    12     19    HVTILE_035
RICH1    12     20    HVTILE_036
RICH1    12     21    HVTILE_039
RICH1    12     22    HVTILE_040
RICH1    12     23    HVTILE_041
RICH1    12     24    HVTILE_045
RICH1    12     25    HVTILE_046
RICH1    12     26    HVTILE_047
RICH1    12     27    HVTILE_051
RICH1    12     28    HVTILE_052
RICH1    12     29    HVTILE_053
RICH1    12     30    HVTILE_057
RICH1    12     31    HVTILE_058
RICH1    13      0    HVTILE_059
RICH1    13      1    HVTILE_060
RICH1    13      2    HVTILE_064
RICH1    13      3    HVTILE_065
RICH1    13      4    HVTILE_066
RICH1    13      5    HVTILE_067
RICH1    13      6    HVTILE_071
RICH1    13      7    HVTILE_072
RICH1    13      8    HVTILE_073
RICH1    13      9    HVTILE_074
RICH1    13     10    HVTILE_078
RICH1    13     11    HVTILE_079
RICH1    13     12    HVTILE_080
RICH1    13     13    HVTILE_081
RICH1    13     14    HVTILE_086
RICH1    13     15    HVTILE_087
RICH1    13     16    HVTILE_088
RICH1    13     17    HVTILE_089
RICH1    13     18    HVTILE_094
RICH1    13     19    HVTILE_095
RICH1    13     20    HVTILE_096
RICH1    13     21    HVTILE_097
RICH1    13     22    HVTILE_102
RICH1    13     23    HVTILE_103
RICH1    13     24    HVTILE_104
RICH1    13     25    HVTILE_105
RICH1    13     26    HVTILE_106
RICH1    13     27    HVTILE_111
RICH1    13     28    HVTILE_112
RICH1    13     29    HVTILE_113
RICH1    13     30    HVTILE_114
RICH1    13     31    HVTILE_115
RICH1    14      0    HVTILE_120
RICH1    14      1    HVTILE_121
RICH1    14      2    HVTILE_122
RICH1    14      3    HVTILE_123
RICH1    14      4    HVTILE_124
RICH1    14      5    HVTILE_129
RICH1    14      6    HVTILE_130
RICH1    14      7    HVTILE_131
RICH1    14      8    HVTILE_132
RICH1    14      9    HVTILE_133
