,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,,,X,Y,Hodoscope Index,Calculated Component,Size
10,,,,,,,,,,,,,,,,,,,,,,,,,-11,-3,0,176,2
9,,,,,,,,S2E1,,S2E2,,S2E3,,S2E4,,,,,,,,,,,-11,-2,S8E2,198,2
8,,,,,S1E1,S1E2,,,,,,,,,,S3E6,,S3E3,,,,,,,-11,-1,0,220,2
7,,,,,,,,S2E5,,S2E6,,S2E7,,S2E8,,,,,,,,,,,-11,1,0,264,2
6,,,S1E3,S1E4,,S1E5,,,,,,,,,,S3E7,,S3E4,,S3E1,,,,,-11,2,S8E4,286,2
5,,,,,,,,S2E9,,S2E10,,S2E11,,S2E12,,,,,,,,,,,-11,3,0,308,2
4,,S1E6,,S1E7,,S1E8,,S2E13,S2E14,S2E15,S2E16,S2E17,S2E18,S2E19,S2E20,S3E8,,S3E5,,S3E2,,,,,-10,-6,S7E2,111,2
3,,,,,,,S8E20,S1E9,,,,,,,S3E9,S4E13,,,,,,,,,-10,-5,0,133,2
2,S8E4,,S8E8,,S8E12,,S8E19,,,,,,,,,S4E14,S4E9,,S4E5,,S4E1,,,,-10,-4,0,155,2
1,,,,,,,S8E18,,,,,,,,,S4E15,,,,,,,,,-10,-3,0,177,2
0,S8E3,,S8E7,,S8E11,,S8E17,,,,,,,,,S4E16,S4E10,,S4E6,,S4E2,,,,-10,-2,0,199,2
-1,,,,,,,S8E16,,,,,,,,,S4E17,,,,,,,,,-10,-1,0,221,2
-2,S8E2,,S8E6,,S8E10,,S8E15,,,,,,,,,S4E18,S4E11,,S4E7,,S4E3,,,,-10,1,0,265,2
-3,,,,,,,S8E14,,,,,,,,,S4E19,,,,,,,,,-10,2,0,287,2
-4,S8E1,,S8E5,,S8E9,,S8E13,S7E9,,,,,,,S5E9,S4E20,S4E12,,S4E8,,S4E4,,,,-10,3,0,309,2
-5,,,,,,,,S6E20,S6E19,S6E18,S6E17,S6E16,S6E15,S6E14,S6E13,,,,,,,,,,-10,4,S1E6,331,2
-6,,S7E2,,S7E5,,S7E8,,,,,,,,,,S5E8,,S5E7,,S5E6,,,,,-10,5,0,353,2
-7,,,S7E1,,,,,S6E12,,S6E11,,S6E10,,S6E9,,,,,,S5E3,,,,,-10,6,0,375,2
-8,,,,S7E4,,S7E7,,,,,,,,,,S5E5,,S5E4,,,,,,,-9,-7,S7E1,90,1
-9,,,,,S7E3,,,S6E8,,S6E7,,S6E6,,S6E5,,,,S5E1,,,,,,,-9,-6,0,112,2
-10,,,,,,S7E6,,,,,,,,,,S5E2,,,,,,,,,-9,-5,0,134,2
-11,,,,,,,,S6E4,,S6E3,,S6E2,,S6E1,,,,,,,,,,,-9,-4,S8E5,156,2
,,,,,,,,,,,,,,,,,,,,,,,,,-9,-3,0,178,2
,,,,,,,,,,,,,,,,,,,,,,,,,-9,-2,S8E6,200,2
,,,,,,,,,,,,,,,,,,,,,,,,,-9,-1,0,222,2
,,,,,,,,,,,,,,,,,,,,,,,,,-9,1,0,266,2
,,,,,,,,,,,,,,,,,,,,,,,,,-9,2,S8E8,288,2
,,,,,,,,,,,,,,,,,,,,,,,,,-9,3,0,310,2
,,,,,,,,,,,,,,,,,,,,,,,,,-9,4,0,332,2
,,,,,,,,,,,,,,,,,,,,,,,,,-9,5,0,354,2
,,,,,,,,,,,,,,,,,,,,,,,,,-9,6,S1E3,376,1
,,,,,,,,,,,,,,,,,,,,,,,,,-9,7,0,398,2
,,,,,,,,,,,,,,,,,,,,,,,,,-8,-8,S7E4,69,2
,,,,,,,,,,,,,,,,,,,,,,,,,-8,-7,0,91,2
,,,,,,,,,,,,,,,,,,,,,,,,,-8,-6,S7E5,113,2
,,,,,,,,,,,,,,,,,,,,,,,,,-8,-5,0,135,2
,,,,,,,,,,,,,,,,,,,,,,,,,-8,-4,0,157,2
,,,,,,,,,,,,,,,,,,,,,,,,,-8,-3,0,179,2
,,,,,,,,,,,,,,,,,,,,,,,,,-8,-2,0,201,2
,,,,,,,,,,,,,,,,,,,,,,,,,-8,-1,0,223,2
,,,,,,,,,,,,,,,,,,,,,,,,,-8,1,0,267,2
,,,,,,,,,,,,,,,,,,,,,,,,,-8,2,0,289,2
,,,,,,,,,,,,,,,,,,,,,,,,,-8,3,0,311,2
,,,,,,,,,,,,,,,,,,,,,,,,,-8,4,S1E7,333,2
,,,,,,,,,,,,,,,,,,,,,,,,,-8,5,0,355,2
,,,,,,,,,,,,,,,,,,,,,,,,,-8,6,S1E4,377,2
,,,,,,,,,,,,,,,,,,,,,,,,,-8,7,0,399,2
,,,,,,,,,,,,,,,,,,,,,,,,,-8,8,0,421,2
,,,,,,,,,,,,,,,,,,,,,,,,,-7,-9,S7E3,48,1
,,,,,,,,,,,,,,,,,,,,,,,,,-7,-8,0,70,2
,,,,,,,,,,,,,,,,,,,,,,,,,-7,-7,0,92,2
,,,,,,,,,,,,,,,,,,,,,,,,,-7,-6,0,114,2
,,,,,,,,,,,,,,,,,,,,,,,,,-7,-5,0,136,2
,,,,,,,,,,,,,,,,,,,,,,,,,-7,-4,S8E9,158,2
,,,,,,,,,,,,,,,,,,,,,,,,,-7,-3,0,180,2
,,,,,,,,,,,,,,,,,,,,,,,,,-7,-2,S8E10,202,2
,,,,,,,,,,,,,,,,,,,,,,,,,-7,-1,0,224,2
,,,,,,,,,,,,,,,,,,,,,,,,,-7,1,0,268,2
,,,,,,,,,,,,,,,,,,,,,,,,,-7,2,S8E12,290,2
,,,,,,,,,,,,,,,,,,,,,,,,,-7,3,0,312,2
,,,,,,,,,,,,,,,,,,,,,,,,,-7,4,0,334,2
,,,,,,,,,,,,,,,,,,,,,,,,,-7,5,0,356,2
,,,,,,,,,,,,,,,,,,,,,,,,,-7,6,0,378,2
,,,,,,,,,,,,,,,,,,,,,,,,,-7,7,0,400,2
,,,,,,,,,,,,,,,,,,,,,,,,,-7,8,S1E1,422,1
,,,,,,,,,,,,,,,,,,,,,,,,,-7,9,0,444,2
,,,,,,,,,,,,,,,,,,,,,,,,,-6,-10,S7E6,27,2
