HallB, RICH, SSP,,,,,,,
pv, description, latching, annunciating, delay, count, guidance title, guidance description,display title,display details
B_DET_RICH_SSP:temp:fpga,RICH FPGA Temperature, true, true,0,0, Guidance, A RICH FPGA temperature is out of range.  Contact the On-Call RICH Expert.,Open Temp/Volt Controls,/CLAS12_Share/detectors/RICH/ssp-tempvolt-colorscale.opi
B_DET_RICH_SSP:temp:reg0,RICH Regulator 0 Temperature, true, true,0,0, Guidance, A RICH Regulator 0 temperature is out of range.  Contact the On-Call RICH Expert.,Open Temp/Volt Controls,/CLAS12_Share/detectors/RICH/ssp-tempvolt-colorscale.opi
B_DET_RICH_SSP:temp:reg1,RICH Regulator 1 Temperature, true, true,0,0, Guidance, A RICH Regulator 1 temperature is out of range.  Contact the On-Call RICH Expert.,Open Temp/Volt Controls,/CLAS12_Share/detectors/RICH/ssp-tempvolt-colorscale.opi
B_DET_RICH_SSP:volt:pcb5,RICH PCB 5 Voltage, true, true,0,0, Guidance, A RICH PCB 5 voltage is out of range.  Contact the On-Call RICH Expert.,Open Temp/Volt Controls,/CLAS12_Share/detectors/RICH/ssp-tempvolt-colorscale.opi
B_DET_RICH_SSP:volt:pcb3_3,RICH PCB 3.3 Voltage, true, true,0,0, Guidance, A RICH PCB 3.3 voltage is out of range.  Contact the On-Call RICH Expert.,Open Temp/Volt Controls,/CLAS12_Share/detectors/RICH/ssp-tempvolt-colorscale.opi
B_DET_RICH_SSP:volt:int1, RICH INT 1 Voltage, true, true,0,0, Guidance, A RICH Int 1 voltage is out of range.  Contact the On-Call RICH Expert.,Open Temp/Volt Controls,/CLAS12_Share/detectors/RICH/ssp-tempvolt-colorscale.opi
B_DET_RICH_SSP:volt:aux1_8,RICH Aux 1.8 Voltage, true, true,0,0, Guidance, A RICH Aux 1.8 voltage is out of range.  Contact the On-Call RICH Expert.,Open Temp/Volt Controls,/CLAS12_Share/detectors/RICH/ssp-tempvolt-colorscale.opi
B_DET_RICH_SSP:volt:mgt1,RICH MGT 1 Voltage, true, true,0,0, Guidance, A RICH MGT 1 voltage is out of range.  Contact the On-Call RICH Expert.,Open Temp/Volt Controls,/CLAS12_Share/detectors/RICH/ssp-tempvolt-colorscale.opi
B_DET_RICH_SSP:volt:mgt1_2,RICH MGT 1.2 Voltage, true, true,0,0, Guidance, A RICH MGT 1.2 voltage is out of range.  Contact the On-Call RICH Expert.,Open Temp/Volt Controls,/CLAS12_Share/detectors/RICH/
B_DET_RICH_HV:stat,RICH High Voltage, true, true,0,0, Guidance, A RICH high voltage channel is out of range.  Contact the On-Call RICH Expert.,Open HV Controls,/CLAS12_Share/detectors/RICH/RICH_HV_details_novice.opi
B_DET_RICH_LV:stat,RICH Low Voltage, true, true,0,0, Guidance, A RICH low voltage channel is out of range.  Contact the On-Call RICH Expert.,Open LV Controls,/CLAS12_Share/detectors/RICH/RICH_LV_details_novice.opi
B_DET_RICH_INTLK_S1_EP_TEMP_STATUS,RICH Electronic Panel Temperature Status, true, true,0,0, Guidance,A RICH electronic panel temperature sensor is out of range.  Contact the On-Call RICH Expert.,Open Hardware Interlock Controls,/CLAS12_Share/apps/cRioIntlkApp/RICH-hwintlk.opi
B_DET_RICH_INTLK_S1_EP_HUMID_STATUS,RICH Electronic Panel Humidity Status, true, true,0,0, Guidance,A RICH electronic panel humidity sensor is out of range.  Contact the On-Call RICH Expert.,Open Hardware Interlock Controls,/CLAS12_Share/apps/cRioIntlkApp/RICH-hwintlk.opi
B_DET_RICH_INTLK_S1_EP_TEMP_LATCHED_ERR,RICH Electronic Panel Temperature Latch Error, true, true,0,0, Guidance,A RICH electronic panel temperature latch error occurred.  Contact the On-Call RICH Expert.,Open Hardware Interlock Controls,/CLAS12_Share/apps/cRioIntlkApp/RICH-hwintlk.opi
B_DET_RICH_INTLK_S1_EP_HUMID_LATCHED_ERR,RICH Electronic Panel Humidity Latch Error, true, true,0,0, Guidance,A RICH electronic panel humidity latch error occurred.  Contact the On-Call RICH Expert.,Open Hardware Interlock Controls,/CLAS12_Share/apps/cRioIntlkApp/RICH-hwintlk.opi
B_DET_RICH_INTLK_TEMP_STATUS,RICH N2 Gas Temperature Status, true, true,0,0, Guidance,A RICH N2 Gas System temperature sensor is out of range.  Contact the On-Call RICH Expert.,Open Hardware Interlock Controls,/CLAS12_Share/apps/cRioIntlkApp/RICH-hwintlk.opi
B_DET_RICH_INTLK_HUMID_STATUS,RICH N2 Gas Humidity Status, true, true,0,0, Guidance,A RICH N2 Gas System humidity sensor is out of range.  Contact the On-Call RICH Expert.,Open Hardware Interlock Controls,/CLAS12_Share/apps/cRioIntlkApp/RICH-hwintlk.opi
B_DET_RICH_INTLK_N2FLOW_STATUS,RICH N2 Gas N2-Flow Status, true, true,0,0, Guidance,A RICH N2 Gas System N2-flow sensor is out of range.  Contact the On-Call RICH Expert.,Open Hardware Interlock Controls,/CLAS12_Share/apps/cRioIntlkApp/RICH-hwintlk.opi
B_DET_RICH_INTLK_AIRFLOW_STATUS,RICH N2 Gas Air Flow Status, true, true,0,0, Guidance,A RICH N2 Gas System air flow sensor is out of range.  Contact the On-Call RICH Expert.,Open Hardware Interlock Controls,/CLAS12_Share/apps/cRioIntlkApp/RICH-hwintlk.opi
B_DET_RICH_INTLK_AIRPR_STATUS,RICH N2 Gas Air Pressure Status, true, true,0,0, Guidance,A RICH N2 Gas System air pressure sensor is out of range.  Contact the On-Call RICH Expert.,Open Hardware Interlock Controls,/CLAS12_Share/apps/cRioIntlkApp/RICH-hwintlk.opi
B_DET_RICH_INTLK_TEMP_LATCHED_ERR,RICH N2 Gas Temperature Latch Error, true, true,0,0, Guidance,A RICH N2 Gas System temperature latch error occurred.  Contact the On-Call RICH Expert.,Open Hardware Interlock Controls,/CLAS12_Share/apps/cRioIntlkApp/RICH-hwintlk.opi
B_DET_RICH_INTLK_HUMID_LATCHED_ERR,RICH N2 Gas Humidity Latch Error, true, true,0,0, Guidance,A RICH N2 Gas System humidity latch error occurred.  Contact the On-Call RICH Expert.,Open Hardware Interlock Controls,/CLAS12_Share/apps/cRioIntlkApp/RICH-hwintlk.opi
B_DET_RICH_INTLK_N2FLOW_LATCHED_ERR,RICH N2 Gas N2-Flow Latch Error, true, true,0,0, Guidance,A RICH N2 Gas System N2-flow latch error occurred.  Contact the On-Call RICH Expert.,Open Hardware Interlock Controls,/CLAS12_Share/apps/cRioIntlkApp/RICH-hwintlk.opi
B_DET_RICH_INTLK_AIRFLOW_LATCHED_ERR,RICH N2 Gas Air Flow Latch Error, true, true,0,0, Guidance,A RICH N2 Gas System air flow latch error occurred.  Contact the On-Call RICH Expert.,Open Hardware Interlock Controls,/CLAS12_Share/apps/cRioIntlkApp/RICH-hwintlk.opi
B_DET_RICH_INTLK_AIRPR_LATCHED_ERR,RICH N2 Gas Air Pressure Latch Error, true, true,0,0, Guidance,A RICH N2 Gas System air pressure latch error occurred.  Contact the On-Call RICH Expert.,Open Hardware Interlock Controls,/CLAS12_Share/apps/cRioIntlkApp/RICH-hwintlk.opi
