#, 1st Col , Must be S or #,, ,,,,(S=UsedSlot #=comment)
#, Crate No,   Crate Name  ,Crate Type, Slot,Chan,Sys,Detector,Element
#,"Discriminator FALL SETUP, Disc in Slots 12-15, 17-20",,,,,,,
#,L4 Group,,,,,,,
S,66,ADCBAND1,FADC250,12,0,DISC,BAND,110_L
S,66,ADCBAND1,FADC250,12,1,DISC,BAND,210_L
S,66,ADCBAND1,FADC250,12,2,DISC,BAND,310_L
S,66,ADCBAND1,FADC250,12,3,DISC,BAND,410_L
S,66,ADCBAND1,FADC250,12,4,DISC,BAND,510_L
S,66,ADCBAND1,FADC250,12,5,DISC,BAND,111A_L
S,66,ADCBAND1,FADC250,12,6,DISC,BAND,211A_L
S,66,ADCBAND1,FADC250,12,7,DISC,BAND,311A_L
S,66,ADCBAND1,FADC250,12,8,DISC,BAND,411A_L
S,66,ADCBAND1,FADC250,12,9,DISC,BAND,511A_L
S,66,ADCBAND1,FADC250,12,10,DISC,BAND,112A_L
S,66,ADCBAND1,FADC250,12,11,DISC,BAND,212A_L
S,66,ADCBAND1,FADC250,12,12,DISC,BAND,312A_L
S,66,ADCBAND1,FADC250,12,13,DISC,BAND,412A_L
S,66,ADCBAND1,FADC250,12,14,DISC,BAND,512A_L
S,66,ADCBAND1,FADC250,12,15,DISC,BAND,empty
#,L5 Group,,,,,,,
S,66,ADCBAND1,FADC250,13,0,DISC,BAND,113A_L
S,66,ADCBAND1,FADC250,13,1,DISC,BAND,213A_L
S,66,ADCBAND1,FADC250,13,2,DISC,BAND,313A_L
S,66,ADCBAND1,FADC250,13,3,DISC,BAND,413A_L
S,66,ADCBAND1,FADC250,13,4,DISC,BAND,513A_L
S,66,ADCBAND1,FADC250,13,5,DISC,BAND,114A_L
S,66,ADCBAND1,FADC250,13,6,DISC,BAND,214A_L
S,66,ADCBAND1,FADC250,13,7,DISC,BAND,314A_L
S,66,ADCBAND1,FADC250,13,8,DISC,BAND,414A_L
S,66,ADCBAND1,FADC250,13,9,DISC,BAND,514A_L
S,66,ADCBAND1,FADC250,13,10,DISC,BAND,115A_L
S,66,ADCBAND1,FADC250,13,11,DISC,BAND,215A_L
S,66,ADCBAND1,FADC250,13,12,DISC,BAND,315A_L
S,66,ADCBAND1,FADC250,13,13,DISC,BAND,415A_L
S,66,ADCBAND1,FADC250,13,14,DISC,BAND,515A_L
S,66,ADCBAND1,FADC250,13,15,DISC,BAND,416A_L
#,L6 Group,,,,,,,
S,66,ADCBAND1,FADC250,14,0,DISC,BAND,111A_R
S,66,ADCBAND1,FADC250,14,1,DISC,BAND,211A_R
S,66,ADCBAND1,FADC250,14,2,DISC,BAND,311A_R
S,66,ADCBAND1,FADC250,14,3,DISC,BAND,411A_R
S,66,ADCBAND1,FADC250,14,4,DISC,BAND,511A_R
S,66,ADCBAND1,FADC250,14,5,DISC,BAND,112A_R
S,66,ADCBAND1,FADC250,14,6,DISC,BAND,212A_R
S,66,ADCBAND1,FADC250,14,7,DISC,BAND,312A_R
S,66,ADCBAND1,FADC250,14,8,DISC,BAND,412A_R
S,66,ADCBAND1,FADC250,14,9,DISC,BAND,512A_R
S,66,ADCBAND1,FADC250,14,10,DISC,BAND,113A_R
S,66,ADCBAND1,FADC250,14,11,DISC,BAND,213A_R
S,66,ADCBAND1,FADC250,14,12,DISC,BAND,313A_R
S,66,ADCBAND1,FADC250,14,13,DISC,BAND,413A_R
S,66,ADCBAND1,FADC250,14,14,DISC,BAND,513A_R
S,66,ADCBAND1,FADC250,14,15,DISC,BAND,316A_L
#,L7 Group,,,,,,,
S,66,ADCBAND1,FADC250,15,0,DISC,BAND,114A_R
S,66,ADCBAND1,FADC250,15,1,DISC,BAND,214A_R
S,66,ADCBAND1,FADC250,15,2,DISC,BAND,314A_R
S,66,ADCBAND1,FADC250,15,3,DISC,BAND,414A_R
S,66,ADCBAND1,FADC250,15,4,DISC,BAND,514A_R
S,66,ADCBAND1,FADC250,15,5,DISC,BAND,115A_R
S,66,ADCBAND1,FADC250,15,6,DISC,BAND,215A_R
S,66,ADCBAND1,FADC250,15,7,DISC,BAND,315A_R
S,66,ADCBAND1,FADC250,15,8,DISC,BAND,415A_R
S,66,ADCBAND1,FADC250,15,9,DISC,BAND,515A_R
S,66,ADCBAND1,FADC250,15,10,DISC,BAND,116A_R
S,66,ADCBAND1,FADC250,15,11,DISC,BAND,216A_R
S,66,ADCBAND1,FADC250,15,12,DISC,BAND,316A_R
S,66,ADCBAND1,FADC250,15,13,DISC,BAND,416A_R
S,66,ADCBAND1,FADC250,15,14,DISC,BAND,116A_L
S,66,ADCBAND1,FADC250,15,15,DISC,BAND,216A_L
#,R4 Group,,,,,,,
S,66,ADCBAND1,FADC250,17,0,DISC,BAND,110_R
S,66,ADCBAND1,FADC250,17,1,DISC,BAND,210_R
S,66,ADCBAND1,FADC250,17,2,DISC,BAND,310_R
S,66,ADCBAND1,FADC250,17,3,DISC,BAND,410_R
S,66,ADCBAND1,FADC250,17,4,DISC,BAND,empty
S,66,ADCBAND1,FADC250,17,5,DISC,BAND,111B_R
S,66,ADCBAND1,FADC250,17,6,DISC,BAND,211B_R
S,66,ADCBAND1,FADC250,17,7,DISC,BAND,311B_R
S,66,ADCBAND1,FADC250,17,8,DISC,BAND,411B_R
S,66,ADCBAND1,FADC250,17,9,DISC,BAND,empty
S,66,ADCBAND1,FADC250,17,10,DISC,BAND,112B_R
S,66,ADCBAND1,FADC250,17,11,DISC,BAND,212B_R
S,66,ADCBAND1,FADC250,17,12,DISC,BAND,312B_R
S,66,ADCBAND1,FADC250,17,13,DISC,BAND,412B_R
S,66,ADCBAND1,FADC250,17,14,DISC,BAND,empty
S,66,ADCBAND1,FADC250,17,15,DISC,BAND,empty
#,R5 Group,,,,,,,
S,66,ADCBAND1,FADC250,18,0,DISC,BAND,113B_R
S,66,ADCBAND1,FADC250,18,1,DISC,BAND,213B_R
S,66,ADCBAND1,FADC250,18,2,DISC,BAND,313B_R
S,66,ADCBAND1,FADC250,18,3,DISC,BAND,413B_R
S,66,ADCBAND1,FADC250,18,4,DISC,BAND,513B_R
S,66,ADCBAND1,FADC250,18,5,DISC,BAND,114B_R
