#, 1st Col , Must be S or #,, ,,,,(S=UsedSlot #=comment)
#, Crate No,   Crate Name  ,Crate Type, Slot,Chan,Sys,Detector,Element
#,"Discriminator full setup, Disc in Slots 2-5, 7-10, 12-15, 17-20, Note: TDCs in slot 6 and 16",,,,,,,
#,L1 Group,,,,,,,
S,67,TDCBAND1,VME,2,0,DISC,BAND,101_L
S,67,TDCBAND1,VME,2,1,DISC,BAND,201_L
S,67,TDCBAND1,VME,2,2,DISC,BAND,301_L
S,67,TDCBAND1,VME,2,3,DISC,BAND,401_L
S,67,TDCBAND1,VME,2,4,DISC,BAND,501_L
S,67,TDCBAND1,VME,2,5,DISC,BAND,102_L
S,67,TDCBAND1,VME,2,6,DISC,BAND,202_L
S,67,TDCBAND1,VME,2,7,DISC,BAND,302_L
S,67,TDCBAND1,VME,2,8,DISC,BAND,402_L
S,67,TDCBAND1,VME,2,9,DISC,BAND,502_L
S,67,TDCBAND1,VME,2,10,DISC,BAND,103_L
S,67,TDCBAND1,VME,2,11,DISC,BAND,203_L
S,67,TDCBAND1,VME,2,12,DISC,BAND,303_L
S,67,TDCBAND1,VME,2,13,DISC,BAND,403_L
S,67,TDCBAND1,VME,2,14,DISC,BAND,503_L
S,67,TDCBAND1,VME,2,15,DISC,BAND,V01
#,L2 Group,,,,,,,
S,67,TDCBAND1,VME,3,0,DISC,BAND,104_L
S,67,TDCBAND1,VME,3,1,DISC,BAND,204_L
S,67,TDCBAND1,VME,3,2,DISC,BAND,304_L
S,67,TDCBAND1,VME,3,3,DISC,BAND,404_L
S,67,TDCBAND1,VME,3,4,DISC,BAND,504_L
S,67,TDCBAND1,VME,3,5,DISC,BAND,105_L
S,67,TDCBAND1,VME,3,6,DISC,BAND,205_L
S,67,TDCBAND1,VME,3,7,DISC,BAND,305_L
S,67,TDCBAND1,VME,3,8,DISC,BAND,405_L
S,67,TDCBAND1,VME,3,9,DISC,BAND,505_L
S,67,TDCBAND1,VME,3,10,DISC,BAND,106_L
S,67,TDCBAND1,VME,3,11,DISC,BAND,206_L
S,67,TDCBAND1,VME,3,12,DISC,BAND,306_L
S,67,TDCBAND1,VME,3,13,DISC,BAND,406_L
S,67,TDCBAND1,VME,3,14,DISC,BAND,506_L
S,67,TDCBAND1,VME,3,15,DISC,BAND,V02
#,L3 Group,,,,,,,
S,67,TDCBAND1,VME,4,0,DISC,BAND,107_L
S,67,TDCBAND1,VME,4,1,DISC,BAND,207_L
S,67,TDCBAND1,VME,4,2,DISC,BAND,307_L
S,67,TDCBAND1,VME,4,3,DISC,BAND,407_L
S,67,TDCBAND1,VME,4,4,DISC,BAND,507_L
S,67,TDCBAND1,VME,4,5,DISC,BAND,108_L
S,67,TDCBAND1,VME,4,6,DISC,BAND,208_L
S,67,TDCBAND1,VME,4,7,DISC,BAND,308_L
S,67,TDCBAND1,VME,4,8,DISC,BAND,408_L
S,67,TDCBAND1,VME,4,9,DISC,BAND,508_L
S,67,TDCBAND1,VME,4,10,DISC,BAND,109_L
S,67,TDCBAND1,VME,4,11,DISC,BAND,209_L
S,67,TDCBAND1,VME,4,12,DISC,BAND,309_L
S,67,TDCBAND1,VME,4,13,DISC,BAND,409_L
S,67,TDCBAND1,VME,4,14,DISC,BAND,509_L
S,67,TDCBAND1,VME,4,15,DISC,BAND,V03
#,L4 Group,,,,,,,
S,67,TDCBAND1,VME,5,0,DISC,BAND,110_L
S,67,TDCBAND1,VME,5,1,DISC,BAND,210_L
S,67,TDCBAND1,VME,5,2,DISC,BAND,310_L
S,67,TDCBAND1,VME,5,3,DISC,BAND,410_L
S,67,TDCBAND1,VME,5,4,DISC,BAND,510_L
S,67,TDCBAND1,VME,5,5,DISC,BAND,111A_L
S,67,TDCBAND1,VME,5,6,DISC,BAND,211A_L
S,67,TDCBAND1,VME,5,7,DISC,BAND,311A_L
S,67,TDCBAND1,VME,5,8,DISC,BAND,411A_L
S,67,TDCBAND1,VME,5,9,DISC,BAND,511A_L
S,67,TDCBAND1,VME,5,10,DISC,BAND,112A_L
S,67,TDCBAND1,VME,5,11,DISC,BAND,212A_L
S,67,TDCBAND1,VME,5,12,DISC,BAND,312A_L
S,67,TDCBAND1,VME,5,13,DISC,BAND,412A_L
