HallB,Torus,Cryo,Imports,,,,,,,
pv,description,latching,annunciating,delay,count,display title,display details,automated_action title,automated_action details,automated_action delay
B_TORUS:DBX:CFI082,Imported from CRYO,TRUE,TRUE,5,5,Open Cryo Imports GUI,/CLAS12_Share/apps/plcApp/torus_import_alarms.opi,Auto SMS (wmoore),mailto:wmoore-page@jlab.org,600
B_TORUS:DBX:CFI60DLP,Imported from CRYO,TRUE,TRUE,5,5,Open Cryo Imports GUI,/CLAS12_Share/apps/plcApp/torus_import_alarms.opi,Auto SMS (wmoore),mailto:wmoore-page@jlab.org,600
B_TORUS:DBX:CFI6711B,Imported from CRYO,TRUE,TRUE,5,5,Open Cryo Imports GUI,/CLAS12_Share/apps/plcApp/torus_import_alarms.opi,Auto SMS (wmoore),mailto:wmoore-page@jlab.org,600
B_TORUS:DBX:CFI6751B,Imported from CRYO,TRUE,TRUE,5,5,Open Cryo Imports GUI,/CLAS12_Share/apps/plcApp/torus_import_alarms.opi,Auto SMS (wmoore),mailto:wmoore-page@jlab.org,600
B_TORUS:DBX:CPI084,Imported from CRYO,TRUE,TRUE,5,5,Open Cryo Imports GUI,/CLAS12_Share/apps/plcApp/torus_import_alarms.opi,Auto SMS (wmoore),mailto:wmoore-page@jlab.org,600
B_TORUS:DBX:CPI603QB,Imported from CRYO,TRUE,TRUE,5,5,Open Cryo Imports GUI,/CLAS12_Share/apps/plcApp/torus_import_alarms.opi,Auto SMS (wmoore),mailto:wmoore-page@jlab.org,600
B_TORUS:DBX:CPI8521,Imported from CRYO,TRUE,TRUE,5,5,Open Cryo Imports GUI,/CLAS12_Share/apps/plcApp/torus_import_alarms.opi,Auto SMS (wmoore),mailto:wmoore-page@jlab.org,600
B_TORUS:DBX:CTD672,Imported from CRYO,TRUE,TRUE,5,5,Open Cryo Imports GUI,/CLAS12_Share/apps/plcApp/torus_import_alarms.opi,Auto SMS (wmoore),mailto:wmoore-page@jlab.org,600
B_TORUS:DBX:CTD8521,Imported from CRYO,TRUE,TRUE,5,5,Open Cryo Imports GUI,/CLAS12_Share/apps/plcApp/torus_import_alarms.opi,Auto SMS (wmoore),mailto:wmoore-page@jlab.org,600
B_TORUS:DBX:CT6030B,Imported from CRYO,TRUE,TRUE,5,5,Open Cryo Imports GUI,/CLAS12_Share/apps/plcApp/torus_import_alarms.opi,Auto SMS (wmoore),mailto:wmoore-page@jlab.org,600
